"plan_name", "company","adult" ,"young_adult_age_25", "young_adult_age_24", "young_adult_age_23", "young_adult_age_22", "young_adult_age_21", "young_adult_age_20", "young_adult_age_19", "young_adult_age_18", "child_one", "child_two", "child_three", "child_four", "newborn","date"
"Company Health Plus with Excess","Laya","1803.1","1702.95","1502.64","1302.33","1102.02","901.71","801.4","801.4","801.4","403.12","403.12","328.34","328.34","0","2016-07-01"
"Complete Simplicity","Laya","1433.72","1352.03","1188.66","1025.29","861.92","718.84","716.86","716.86","716.86","392.92","392.92","392.92","392.92","0","2016-07-01"
"CompleteCare","Laya","2999.12","2839.16","2519.25","2199.34","1879.43","1559.52","1499.56","1499.56","1499.56","792.95","792.95","606.95","606.95","0","2016-07-01"
"Connect Care 500","Laya","1211.31","1211.31","1211.31","1211.31","1211.31","1211.31","1211.31","1211.31","1211.31","404.81","404.81","404.81","404.81","0","2016-07-01"
"ConnectChoice","Laya","1338.31","1261.39","1107.56","953.73","799.92","676.86","592.24","592.24","592.24","401.61","401.61","401.61","401.61","0","2016-07-01"
"Connect Choice 500","Laya","1189.59","1120.11","981.15","842.19","722.58","611.42","525.32","525.32","525.32","382.14","382.14","382.14","382.14","0","2016-07-01"
"ConnectCare","Laya","1506.72","1421.38","1250.71","1080.04","909.37","750.96","668.02","668.02","668.02","510.83","510.83","510.83","510.83","0","2016-07-01"
"Control 150 Connect","Laya","1076.69","1012.86","885.19","766.02","663.88","561.74","474.51","474.51","474.51","280.23","280.23","280.23","280.23","0","2016-07-01"
"Control 300 Connect","Laya","1021.38","1021.38","1021.38","1021.38","1021.38","1021.38","1021.38","1021.38","1021.38","268.5","268.5","268.5","268.5","0","2016-07-01"
"Control 300 Create","Laya","1076.66","1076.66","1076.66","1076.66","1076.66","1076.66","1076.66","1076.66","1076.66","256.62","256.62","256.62","256.62","0","2016-07-01"
"Control 300 Secure","Laya","1402.66","1322.53","1162.26","1002","841.73","705.17","621.2","621.2","621.2","301.86","301.86","301.86","301.86","0","2016-07-01"
"Control 300 Total","Laya","1139.37","1139.37","1139.37","1139.37","1139.37","1139.37","1139.37","1139.37","1139.37","278.82","278.82","278.82","278.82","0","2016-07-01"
"Control 450 Connect","Laya","905.09","905.09","905.09","905.09","905.09","905.09","905.09","905.09","905.09","235.62","235.62","235.62","235.62","0","2016-07-01"
"Control 450 Create","Laya","1107.56","1107.56","1107.56","1107.56","1107.56","1107.56","1107.56","1107.56","1107.56","252.81","252.81","252.81","252.81","0","2016-07-01"
"Control 450 Secure","Laya","1286.37","1212.05","1063.41","914.78","772.91","654","568.87","568.87","568.87","267.99","267.99","267.99","267.99","0","2016-07-01"
"Control 450 Total","Laya","1023.07","1023.07","1023.07","1023.07","1023.07","1023.07","1023.07","1023.07","1023.07","245.64","245.64","245.64","245.64","0","2016-07-01"
"Control 600 Connect","Laya","793.96","793.96","793.96","793.96","793.96","793.96","793.96","793.96","793.96","211.12","211.12","211.12","211.12","0","2016-07-01"
"Control 600 Create","Laya","994.93","994.93","994.93","994.93","994.93","994.93","994.93","994.93","994.93","228.31","228.31","228.31","228.31","0","2016-07-01"
"Control 600 Secure","Laya","1173.73","1173.73","1173.73","1173.73","1173.73","1173.73","1173.73","1173.73","1173.73","243.49","243.49","243.49","243.49","0","2016-07-01"
"Control 600 Total","Laya","910.44","910.44","910.44","910.44","910.44","910.44","910.44","910.44","910.44","221.14","221.14","221.14","221.14","0","2016-07-01"
"Empower 150 Connect","Laya","3107.05","2941.70","2610.99","2280.29","1949.58","1618.88","1388.17","1388.17","1388.17","405.16","405.16","405.16","405.16","0","2016-07-01"
"Empower 150 Create","Laya","3219.61","3048.63","2706.67","2364.71","2022.75","1680.79","1438.82","1438.82","1438.82","422.36","422.36","422.36","422.36","0","2016-07-01"
"Empower 150 Secure","Laya","3389.59","3210.11","2851.15","2492.19","2133.23","1774.27","1515.32","1515.32","1515.32","433.82","433.82","433.82","433.82","0","2016-07-01"
"Empower Connect (No Excess)","Laya","3690.64","3496.11","3107.04","2717.98","2328.92","1939.85","1650.79","1650.79","1650.79","494.31","494.31","494.31","494.31","0","2016-07-01"
"Empower Create (No Excess)","Laya","3803.2","3603.04","3202.72","2802.4","2402.08","2001.76","1701.44","1701.44","1701.44","511.51","511.51","511.51","511.51","0","2016-07-01"
"Essential","Laya","1206.63","1206.63","1206.63","1206.63","1206.63","1206.63","1206.63","1206.63","1206.63","415.34","415.34","312.69","312.69","0","2016-07-01"
"Essential Assist","Laya","666.19","666.19","666.19","666.19","666.19","666.19","666.19","666.19","666.19","257.55","257.55","244.34","244.34","0","2016-07-01"
"Essential Complete","Laya","2055.57","1942.79","1717.23","1491.68","1266.12","1040.56","1027.79","1027.79","1027.79","391.83","391.83","381.77","381.77","0","2016-07-01"
"Essential Connect Family","Laya","1087.42","1023.05","894.31","772.46","669.46","566.46","543.71","543.71","543.71","216.42","216.42","216.42","216.42","0","2016-07-01"
"Essential Connect Health","Laya","1236.57","1236.57","1236.57","1236.57","1236.57","1236.57","1236.57","1236.57","1236.57","329.32","329.32","329.32","329.32","0","2016-07-01"
"Essential Gold","Laya","6507.48","6172.11","5501.36","4830.61","4159.86","3489.11","3253.74","3253.74","3253.74","741.11","741.11","582.13","582.13","0","2016-07-01"
"Essential Plus No Excess","Laya","2835.16","2683.40","2379.89","2076.37","1772.85","1469.34","1417.58","1417.58","1417.58","675.68","675.68","504.72","504.72","0","2016-07-01"
"Essential Plus with Excess","Laya","2119.73","2003.74","1771.77","1539.8","1307.82","1075.85","1059.87","1059.87","1059.87","360.99","360.99","344.94","344.94","0","2016-07-01"
"Flex 125 Choice","Laya","1812.51","1711.88","1510.63","1309.38","1108.13","906.88","906.26","906.26","906.26","456.8","456.8","456.8","456.8","0","2016-07-01"
"Flex 125 Explore","Laya","1386.02","1386.02","1386.02","1386.02","1386.02","1386.02","1386.02","1386.02","1386.02","293.81","293.81","293.81","293.81","0","2016-07-01"
"Flex 125 Plus","Laya","1563.28","1475.12","1298.79","1122.46","946.13","775.84","781.64","781.64","781.64","357.31","357.31","357.31","357.31","0","2016-07-01"
"Flex 175 Choice","Laya","1522.2","1436.09","1263.87","1091.65","919.43","757.77","761.1","761.1","761.1","450.45","450.45","450.45","450.45","0","2016-07-01"
"Flex 175 Explore","Laya","1095.54","1095.54","1095.54","1095.54","1095.54","1095.54","1095.54","1095.54","1095.54","323.47","323.47","323.47","323.47","0","2016-07-01"
"Flex 175 Plus","Laya","1272.59","1272.59","1272.59","1272.59","1272.59","1272.59","1272.59","1272.59","1272.59","353.16","353.16","353.16","353.16","0","2016-07-01"
"Flex 250 Choice","Laya","1244.01","1244.01","1244.01","1244.01","1244.01","1244.01","1244.01","1244.01","1244.01","445.52","445.52","445.52","445.52","0","2016-07-01"
"Flex 250 Explore","Laya","949.08","949.08","949.08","949.08","949.08","949.08","949.08","949.08","949.08","233.48","233.48","233.48","233.48","0","2016-07-01"
"Flex 250 Plus","Laya","1048.33","1048.33","1048.33","1048.33","1048.33","1048.33","1048.33","1048.33","1048.33","348.19","348.19","348.19","348.19","0","2016-07-01"
"Flex 375 Choice","Laya","1189.75","1189.75","1189.75","1189.75","1189.75","1189.75","1189.75","1189.75","1189.75","401.4","401.4","401.4","401.4","0","2016-07-01"
"Flex 375 Explore","Laya","822.42","822.42","822.42","822.42","822.42","822.42","822.42","822.42","822.42","226.72","226.72","226.72","226.72","0","2016-07-01"
"Flex 375 Plus","Laya","999","999.00","999","999","999","999","999","999","999","327","327","327","327","0","2016-07-01"
"Flex 500 Choice","Laya","1059.48","1059.48","1059.48","1059.48","1059.48","1059.48","1059.48","1059.48","1059.48","388.9","388.9","388.9","388.9","0","2016-07-01"
"Flex 500 Explore","Laya","721.04","721.04","721.04","721.04","721.04","721.04","721.04","721.04","721.04","194.57","194.57","194.57","194.57","0","2016-07-01"
"Flex 500 Plus","Laya","852.89","852.89","852.89","852.89","852.89","852.89","852.89","852.89","852.89","306.7","306.7","306.7","306.7","0","2016-07-01"
"Future Protect","Laya","535.56","535.56","535.56","535.56","535.56","535.56","535.56","535.56","535.56","181.7","181.7","181.7","181.7","0","2016-07-01"
"Future Protect Choice","Laya","703.99","703.99","703.99","703.99","703.99","703.99","703.99","703.99","703.99","286.49","286.49","286.49","286.49","0","2016-07-01"
"Future Protect Plus","Laya","625.38","625.38","625.38","625.38","625.38","625.38","625.38","625.38","625.38","231.46","231.46","231.46","231.46","0","2016-07-01"
"Health Protect","Laya","214.64","214.64","214.64","214.64","214.64","214.64","214.64","214.64","214.64","83.48","83.48","0","0","0","2016-07-01"
"Health Secure Plus","Laya","1656.58","1563.75","1378.09","1192.44","1006.78","821.12","735.46","735.46","735.46","466.5","466.5","466.5","466.5","0","2016-07-01"
"Health Sense Complete","Laya","1348.84","1348.84","1348.84","1348.84","1348.84","1348.84","1348.84","1348.84","1348.84","379.74","379.74","379.74","379.74","0","2016-07-01"
"Health Sense Excess","Laya","1455.42","1372.65","1207.11","1041.57","876.02","728.38","644.94","644.94","644.94","454.29","454.29","382.42","382.42","0","2016-07-01"
"Health Smart","Laya","1801.39","1701.32","1501.18","1301.04","1100.9","900.76","900.7","900.7","900.7","403.58","403.58","403.58","403.58","0","2016-07-01"
"Health Smart Family","Laya","2317.87","2191.98","1940.19","1688.4","1436.62","1184.83","1158.94","1158.94","1158.94","674.73","674.73","674.73","674.73","0","2016-07-01"
"HealthManager","Laya","4138.2","3921.29","3487.47","3053.65","2619.83","2186.01","2069.1","2069.1","2069.1","998.33","998.33","770.63","770.63","0","2016-07-01"
"HealthManager First","Laya","1734.74","1638.00","1444.53","1251.06","1057.58","864.11","867.37","867.37","867.37","560.64","560.64","520.52","520.52","0","2016-07-01"
"HealthManager Gold","Laya","7575.33","7186.56","6409.03","5631.5","4853.96","4076.43","3787.67","3787.67","3787.67","1104.1","1104.1","863.27","863.27","0","2016-07-01"
"HealthManager Silver","Laya","4786.04","4536.74","4038.13","3539.53","3040.93","2542.32","2393.02","2393.02","2393.02","1011.72","1011.72","784.03","784.03","0","2016-07-01"
"Health Sense Connect","Laya","1249.15","1249.15","1249.15","1249.15","1249.15","1249.15","1249.15","1249.15","1249.15","386.44","386.44","386.44","386.44","0","2016-07-01"
"Ideal Simplicity","Laya","1299.3","1224.34","1074.41","924.48","779.64","659.7","649.65","649.65","649.65","359.83","359.83","359.83","359.83","0","2016-07-01"
"Precision 150 Connect","Laya","858.63","858.63","858.63","858.63","858.63","858.63","858.63","858.63","858.63","244.74","244.74","244.74","244.74","0","2016-07-01"
"Precision 150 Create","Laya","1052.88","1052.88","1052.88","1052.88","1052.88","1052.88","1052.88","1052.88","1052.88","264.99","264.99","264.99","264.99","0","2016-07-01"
"Precision 150 Total","Laya","968.39","968.39","968.39","968.39","968.39","968.39","968.39","968.39","968.39","256.54","256.54","256.54","256.54","0","2016-07-01"
"Precision 300 Connect","Laya","780.37","780.37","780.37","780.37","780.37","780.37","780.37","780.37","780.37","226.99","226.99","226.99","226.99","0","2016-07-01"
"Precision 300 Create","Laya","974.33","974.33","974.33","974.33","974.33","974.33","974.33","974.33","974.33","247.24","247.24","247.24","247.24","0","2016-07-01"
"Precision 300 Total","Laya","893.45","893.45","893.45","893.45","893.45","893.45","893.45","893.45","893.45","238.79","238.79","238.79","238.79","0","2016-07-01"
"Precision 450 Connect","Laya","715.86","715.86","715.86","715.86","715.86","715.86","715.86","715.86","715.86","203.1","203.1","203.1","203.1","0","2016-07-01"
"Precision 450 Create","Laya","897.31","897.31","897.31","897.31","897.31","897.31","897.31","897.31","897.31","222.74","222.74","222.74","222.74","0","2016-07-01"
"Precision 450 Total","Laya","812.82","812.82","812.82","812.82","812.82","812.82","812.82","812.82","812.82","214.55","214.55","214.55","214.55","0","2016-07-01"
"Precision 600 Connect","Laya","655.86","655.86","655.86","655.86","655.86","655.86","655.86","655.86","655.86","186.16","186.16","186.16","186.16","0","2016-07-01"
"Precision 600 Create","Laya","822.3","822.30","822.3","822.3","822.3","822.3","822.3","822.3","822.3","205.81","205.81","205.81","205.81","0","2016-07-01"
"Precision 600 Total","Laya","750.24","750.24","750.24","750.24","750.24","750.24","750.24","750.24","750.24","197.61","197.61","197.61","197.61","0","2016-07-01"
"Simplicity","Laya","1087.28","1022.92","894.19","772.37","669.38","566.4","543.64","543.64","543.64","256.43","256.43","256.43","256.43","0","2016-07-01"
"SimplyHealth Plus","Laya","1341.38","1264.31","1110.17","956.04","801.9","678.21","670.69","670.69","670.69","420.15","420.15","372.33","372.33","0","2016-07-01"
"SimplyHealth Connect","Laya","1312.8","1237.16","1085.88","934.6","786.66","665.63","580.76","580.76","580.76","404.27","404.27","404.27","404.27","0","2016-07-01"
"SimplyHealth Starter","Laya","1205.6","1135.32","994.76","854.2","730.91","618.46","532.52","532.52","532.52","302.67","302.67","273.58","273.58","0","2016-07-01"
"Total Health (No Excess)","Laya","1800.11","1700.10","1500.09","1300.08","1100.07","900.06","800.05","800.05","800.05","509.36","509.36","509.36","509.36","0","2016-07-01"
"Total Health Choice","Laya","1687.31","1592.94","1404.21","1215.48","1026.75","838.02","749.29","749.29","749.29","422.17","422.17","422.17","422.17","0","2016-07-01"
"Total Health Complete","Laya","1274","1274.00","1274","1274","1274","1274","1274","1274","1274","368.47","368.47","336.44","336.44","0","2016-07-01"
"Total Health Complete 175","Laya","1183.97","1183.97","1183.97","1183.97","1183.97","1183.97","1183.97","1183.97","1183.97","345.97","345.97","315.9","315.9","0","2016-07-01"
"Total Health Extra","Laya","1621.04","1529.99","1347.88","1165.78","983.68","801.57","719.47","719.47","719.47","435.6","435.6","435.6","435.6","0","2016-07-01"
"Total Health Plus","Laya","1357.36","1279.49","1123.76","968.02","812.28","685.24","678.68","678.68","678.68","445.08","445.08","445.08","445.08","0","2016-07-01"
"Advantage 125 Choice","Laya","1982.66","1873.53","1655.26","1437","1218.73","1000.46","991.33","991.33","991.33","500.94","500.94","500.94","500.94","0","2017-07-01"
"Advantage 125 Explore","Laya","1493.2","1493.20","1493.2","1493.2","1493.2","1493.2","1493.2","1493.2","1493.2","306.73","306.73","306.73","306.73","0","2017-07-01"
"Advantage 125 Plus","Laya","1696.64","1601.81","1412.14","1222.48","1032.82","843.15","848.32","848.32","848.32","379.6","379.6","379.6","379.6","0","2017-07-01"
"Advantage 175 Choice","Laya","1656.36","1563.54","1377.91","1192.27","1006.63","821","828.18","828.18","828.18","497.94","497.94","497.94","497.94","0","2017-07-01"
"Advantage 175 Explore","Laya","1167.14","1167.14","1167.14","1167.14","1167.14","1167.14","1167.14","1167.14","1167.14","355.81","355.81","355.81","355.81","0","2017-07-01"
"Advantage 175 Plus","Laya","1371.15","1371.15","1371.15","1371.15","1371.15","1371.15","1371.15","1371.15","1371.15","375.27","375.27","375.27","375.27","0","2017-07-01"
"Advantage 250 Choice","Laya","1343.1","1343.10","1343.1","1343.1","1343.1","1343.1","1343.1","1343.1","1343.1","493.38","493.38","493.38","493.38","0","2017-07-01"
"Advantage 250 Explore","Laya","958.84","958.84","958.84","958.84","958.84","958.84","958.84","958.84","958.84","300.51","300.51","300.51","300.51","0","2017-07-01"
"Advantage 250 Plus","Laya","1118.56","1118.56","1118.56","1118.56","1118.56","1118.56","1118.56","1118.56","1118.56","373.46","373.46","373.46","373.46","0","2017-07-01"
"Advantage 375 Choice","Laya","1308.6","1308.60","1308.6","1308.6","1308.6","1308.6","1308.6","1308.6","1308.6","430.39","430.39","430.39","430.39","0","2017-07-01"
"Advantage 375 Explore","Laya","819.5","819.50","819.5","819.5","819.5","819.5","819.5","819.5","819.5","250.18","250.18","250.18","250.18","0","2017-07-01"
"Advantage 375 Plus","Laya","1023.4","1023.40","1023.4","1023.4","1023.4","1023.4","1023.4","1023.4","1023.4","323.24","323.24","323.24","323.24","0","2017-07-01"
"Advantage 500 Choice","Laya","1163","1163.00","1163","1163","1163","1163","1163","1163","1163","368.74","368.74","368.74","368.74","0","2017-07-01"
"Advantage 500 Explore","Laya","765.82","765.82","765.82","765.82","765.82","765.82","765.82","765.82","765.82","224.84","224.84","224.84","224.84","0","2017-07-01"
"Advantage 500 Plus","Laya","925.92","925.92","925.92","925.92","925.92","925.92","925.92","925.92","925.92","285.1","285.1","285.1","285.1","0","2017-07-01"
"Assure Health","Laya","769.9","769.90","769.9","769.9","769.9","769.9","769.9","769.9","769.9","228.31","228.31","228.31","228.31","0","2017-07-01"
"Assure Ideal","Laya","1004.32","1004.32","1004.32","1004.32","1004.32","1004.32","1004.32","1004.32","1004.32","295.29","295.29","295.29","295.29","0","2017-07-01"
"Assure Protect","Laya","582.9","582.90","582.9","582.9","582.9","582.9","582.9","582.9","582.9","170.5","170.5","170.5","170.5","0","2017-07-01"
"Complete Care","Laya","3471.4","3287.83","2920.69","2553.55","2186.41","1819.27","1735.7","1735.7","1735.7","924.78","924.78","711.32","711.32","0","2017-07-01"
"Control 150 Secure","Laya","1556.1","1468.30","1292.69","1117.08","941.47","772.69","690.25","690.25","690.25","334.02","334.02","334.02","334.02","0","2017-07-01"
"Essential","Laya","1414.29","1414.29","1414.29","1414.29","1414.29","1414.29","1414.29","1414.29","1414.29","491.42","491.42","358.85","358.85","0","2017-07-01"
"Essential Assist","Laya","764.54","764.54","764.54","764.54","764.54","764.54","764.54","764.54","764.54","295.58","295.58","280.41","280.41","0","2017-07-01"
"Essential Complete","Laya","2388.56","2259.13","2000.28","1741.42","1482.56","1223.71","1194.28","1194.28","1194.28","462.1","462.1","447.66","447.66","0","2017-07-01"
"Essential Connect Family","Laya","1277.48","1203.61","1055.86","908.11","768.29","650.09","638.74","638.74","638.74","248.36","248.36","248.36","248.36","0","2017-07-01"
"Essential Connect Health","Laya","1448.65","1448.65","1448.65","1448.65","1448.65","1448.65","1448.65","1448.65","1448.65","377.94","377.94","377.94","377.94","0","2017-07-01"
"Essential Gold","Laya","7497.7","7112.82","6343.05","5573.28","4803.51","4033.74","3748.85","3748.85","3748.85","865.28","865.28","682.83","682.83","0","2017-07-01"
"Essential Health 300","Laya","932.75","932.75","932.75","932.75","932.75","932.75","932.75","932.75","932.75","242.65","242.65","242.65","242.65","0","2017-07-01"
"Essential Plus (No Excess)","Laya","3283.24","3109.08","2760.75","2412.43","2064.11","1715.78","1641.62","1641.62","1641.62","790.19","790.19","593.99","593.99","0","2017-07-01"
"Essential Plus (Excess)","Laya","2462.19","2329.08","2062.86","1796.64","1530.42","1264.2","1231.1","1231.1","1231.1","417.86","417.86","395.86","395.86","0","2017-07-01"
"Flex 125 Choice","Laya","2109.61","1994.13","1763.17","1532.21","1301.25","1070.29","1054.81","1054.81","1054.81","539","539","539","539","0","2017-07-01"
"Flex 125 Explore","Laya","1620.16","1620.16","1620.16","1620.16","1620.16","1620.16","1620.16","1620.16","1620.16","337.18","337.18","337.18","337.18","0","2017-07-01"
"Flex 125 Plus","Laya","1823.59","1722.41","1520.05","1317.69","1115.33","912.97","911.8","911.8","911.8","412.58","412.58","412.58","412.58","0","2017-07-01"
"Flex 175 Choice","Laya","1776.45","1677.63","1479.98","1282.34","1084.69","887.05","888.23","888.23","888.23","531.71","531.71","531.71","531.71","0","2017-07-01"
"Flex 175 Explore","Laya","1210.62","1210.62","1210.62","1210.62","1210.62","1210.62","1210.62","1210.62","1210.62","352.21","352.21","352.21","352.21","0","2017-07-01"
"Flex 175 Plus ","Laya","1489.99","1489.99","1489.99","1489.99","1489.99","1489.99","1489.99","1489.99","1489.99","406.62","406.62","406.62","406.62","0","2017-07-01"
"Flex 250 Choice","Laya","1457.19","1457.19","1457.19","1457.19","1457.19","1457.19","1457.19","1457.19","1457.19","526.05","526.05","526.05","526.05","0","2017-07-01"
"Flex 250 Explore","Laya","1118.72","1118.72","1118.72","1118.72","1118.72","1118.72","1118.72","1118.72","1118.72","267.95","267.95","267.95","267.95","0","2017-07-01"
"Flex 250 Plus","Laya","1232.62","1232.62","1232.62","1232.62","1232.62","1232.62","1232.62","1232.62","1232.62","399.59","399.59","399.59","399.59","0","2017-07-01"
"Flex 375 Choice","Laya","1394.92","1394.92","1394.92","1394.92","1394.92","1394.92","1394.92","1394.92","1394.92","475.42","475.42","475.42","475.42","0","2017-07-01"
"Flex 375 Explore","Laya","973.36","973.36","973.36","973.36","973.36","973.36","973.36","973.36","973.36","260.19","260.19","260.19","260.19","0","2017-07-01"
"Flex 375 Plus","Laya","1176.01","1176.01","1176.01","1176.01","1176.01","1176.01","1176.01","1176.01","1176.01","375.27","375.27","375.27","375.27","0","2017-07-01"
"Flex 500 Choice","Laya","1245.42","1245.42","1245.42","1245.42","1245.42","1245.42","1245.42","1245.42","1245.42","457.89","457.89","457.89","457.89","0","2017-07-01"
"Flex 500 Explore","Laya","834.36","834.36","834.36","834.36","834.36","834.36","834.36","834.36","834.36","223.29","223.29","223.29","223.29","0","2017-07-01"
"Flex 500 Plus","Laya","1008.33","1008.33","1008.33","1008.33","1008.33","1008.33","1008.33","1008.33","1008.33","351.98","351.98","351.98","351.98","0","2017-07-01"
"Future Protect","Laya","609.94","609.94","609.94","609.94","609.94","609.94","609.94","609.94","609.94","206.93","206.93","206.93","206.93","0","2017-07-01"
"Future Protect Choice","Laya","801.52","801.52","801.52","801.52","801.52","801.52","801.52","801.52","801.52","326.06","326.06","326.06","326.06","0","2017-07-01"
"Future Protect Plus","Laya","711.75","711.75","711.75","711.75","711.75","711.75","711.75","711.75","711.75","263.42","263.42","263.42","263.42","0","2017-07-01"
"Health Protect","Laya","246.33","246.33","246.33","246.33","246.33","246.33","246.33","246.33","246.33","95.81","95.81","0","0","0","2017-07-01"
"Health Smart","Laya","2096.85","1982.01","1752.32","1522.64","1292.95","1063.27","1048.43","1048.43","1048.43","477.92","477.92","477.92","477.92","0","2017-07-01"
"Health Smart Family","Laya","2689.58","2545.10","2256.14","1967.19","1678.23","1389.27","1344.79","1344.79","1344.79","789.1","789.1","789.1","789.1","0","2017-07-01"
"Health Manager","Laya","4778.64","4529.71","4031.84","3533.98","3036.12","2538.25","2389.32","2389.32","2389.32","1160.48","1160.48","899.16","899.16","0","2017-07-01"
"HealthManager First","Laya","2020.36","1909.34","1687.31","1465.27","1243.23","1021.2","1010.18","1010.18","1010.18","658.17","658.17","612.13","612.13","0","2017-07-01"
"Health Manager Gold","Laya","8723.19","8277.03","7384.71","6492.39","5600.07","4707.75","4361.6","4361.6","4361.6","1281.86","1281.86","1005.48","1005.48","0","2017-07-01"
"Health Manager Silver","Laya","5522.12","5236.01","4663.8","4091.59","3519.38","2947.17","2761.06","2761.06","2761.06","1175.84","1175.84","914.54","914.54","0","2017-07-01"
"Simply Connect Plus","Laya","1251.3","1178.74","1033.61","888.48","754.68","638.58","625.65","625.65","625.65","294.06","294.06","294.06","294.06","0","2017-07-01"
"Simply Health Choice","Laya","1366.93","1288.58","1131.89","975.2","818.5","689.45","605.12","605.12","605.12","344.3","344.3","344.3","344.3","0","2017-07-01"
"Assure Vitality","Laya","615.86","615.86","615.86","615.86","615.86","615.86","615.86","615.86","615.86","180.04","180.04","180.04","180.04","0","2017-07-01"
"360 Care","Laya","1750","1652.50","1457.5","1262.5","1067.5","872.5","777.5","777.5","777.5","447.98","447.98","447.98","447.98","0","2017-07-01"
"360 Care","Laya","1867","1763.65","1556.95","1350.25","1143.55","936.85","830.15","830.15","830.15","480.86","480.86","480.86","480.86","0","2018-07-01"
"Advantage 125 Choice","Laya","1767.89","1669.50","1472.71","1275.92","1079.13","882.34","883.95","883.95","883.95","452.86","452.86","452.86","452.86","0","2018-07-01"
"Advantage 125 Explore","Laya","1442.74","1442.74","1442.74","1442.74","1442.74","1442.74","1442.74","1442.74","1442.74","303.66","303.66","303.66","303.66","0","2018-07-01"
"Advantage 125 Plus","Laya","1510.01","1424.51","1253.51","1082.51","911.51","752.41","755.01","755.01","755.01","349.23","349.23","349.23","349.23","0","2018-07-01"
"Advantage 175 Choice","Laya","1507.85","1422.46","1251.67","1080.89","910.1","751.46","753.93","753.93","753.93","450.1","450.1","450.1","450.1","0","2018-07-01"
"Advantage 175 Explore","Laya","1112.45","1112.45","1112.45","1112.45","1112.45","1112.45","1112.45","1112.45","1112.45","341.58","341.58","341.58","341.58","0","2018-07-01"
"Advantage 175 Plus","Laya","1245.46","1245.46","1245.46","1245.46","1245.46","1245.46","1245.46","1245.46","1245.46","345.25","345.25","345.25","345.25","0","2018-07-01"
"Advantage 250 Choice","Laya","1281.38","1281.38","1281.38","1281.38","1281.38","1281.38","1281.38","1281.38","1281.38","469.64","469.64","469.64","469.64","0","2018-07-01"
"Advantage 250 Explore","Laya","1016.78","1016.78","1016.78","1016.78","1016.78","1016.78","1016.78","1016.78","1016.78","315.54","315.54","315.54","315.54","0","2018-07-01"
"Advantage 250 Plus","Laya","1065.82","1065.82","1065.82","1065.82","1065.82","1065.82","1065.82","1065.82","1065.82","358.52","358.52","358.52","358.52","0","2018-07-01"
"Advantage 375 Choice","Laya","1187.91","1187.91","1187.91","1187.91","1187.91","1187.91","1187.91","1187.91","1187.91","390.37","390.37","390.37","390.37","0","2018-07-01"
"Advantage 375 Explore","Laya","870.48","870.48","870.48","870.48","870.48","870.48","870.48","870.48","870.48","262.7","262.7","262.7","262.7","0","2018-07-01"
"Advantage 375 Plus","Laya","925.53","925.53","925.53","925.53","925.53","925.53","925.53","925.53","925.53","297.38","297.38","297.38","297.38","0","2018-07-01"
"Advantage 500 Choice","Laya","1108.48","1108.48","1108.48","1108.48","1108.48","1108.48","1108.48","1108.48","1108.48","353.98","353.98","353.98","353.98","0","2018-07-01"
"Advantage 500 Explore","Laya","805.14","805.14","805.14","805.14","805.14","805.14","805.14","805.14","805.14","236.08","236.08","236.08","236.08","0","2018-07-01"
"Advantage 500 Plus","Laya","880.88","880.88","880.88","880.88","880.88","880.88","880.88","880.88","880.88","273.7","273.7","273.7","273.7","0","2018-07-01"
"Assure Health","Laya","767.98","767.98","767.98","767.98","767.98","767.98","767.98","767.98","767.98","227.74","227.74","227.74","227.74","0","2018-07-01"
"Assure Ideal","Laya","1001.31","1001.31","1001.31","1001.31","1001.31","1001.31","1001.31","1001.31","1001.31","294.55","294.55","294.55","294.55","0","2018-07-01"
"Assure Protect","Laya","482.4","482.40","482.4","482.4","482.4","482.4","482.4","482.4","482.4","148","148","148","148","0","2018-07-01"
"Assure Vitality","Laya","576","576.00","576","576","576","576","576","576","576","168.38","168.38","168.38","168.38","0","2018-07-01"
"Care Select","Laya","1657.98","1565.08","1379.28","1193.49","1007.69","821.89","736.09","736.09","736.09","451.59","451.59","451.59","451.59","0","2018-07-01"
"Company Care (No Excess)","Laya","2014.38","1903.66","1682.22","1460.79","1239.35","1017.91","896.47","896.47","896.47","623.2","623.2","501.45","501.45","0","2018-07-01"
"Company Care Excess","Laya","1890.96","1786.41","1577.32","1368.22","1159.12","950.03","840.93","840.93","840.93","563.59","563.59","482.54","482.54","0","2018-07-01"
"Company Care Excess No EAP","Laya","1668.78","1575.34","1388.46","1201.59","1014.71","827.83","740.95","740.95","740.95","466.78","466.78","413.95","413.95","0","2018-07-01"
"Company Care Gold","Laya","5159.05","4891.10","4355.19","3819.29","3283.38","2747.48","2311.57","2311.57","2311.57","1022.68","1022.68","716.91","716.91","0","2018-07-01"
"Company Care Premium (No Excess)","Laya","3170.08","3001.58","2664.57","2327.56","1990.55","1653.54","1416.54","1416.54","1416.54","881.61","881.61","829.24","829.24","0","2018-07-01"
"Company Health","Laya","1111.28","1111.28","1111.28","1111.28","1111.28","1111.28","1111.28","1111.28","1111.28","375.38","375.38","286.83","286.83","0","2018-07-01"
"Company Health Plus (Excess)","Laya","1986.99","1877.64","1658.94","1440.24","1221.54","1002.84","884.15","884.15","884.15","449.31","449.31","358.48","358.48","0","2018-07-01"
